Country Name,Country Code,Series Name,Series Code,1990 [YR1990],2000 [YR2000],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Canada,CAN,"Population, total",SP.POP.TOTL,27791000,30769700,32570505,32887928,33245773,33628571,34005274,34342780,34754312,35158304,35540419,..
Canada,CAN,Population growth (annual %),SP.POP.GROW,1.49359310901388,0.882998576899551,0.796844597283984,0.969853611087127,1.08219708560653,1.14484018257099,1.11395972071239,0.987617711325488,1.19118432966877,1.1557184377351,1.08097771689146,..
Canada,CAN,Surface area (sq. km),AG.SRF.TOTL.K2,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,9984670,..
Canada,CAN,Population density (people per sq. km of land area),EN.POP.DNST,3.05613563959351,3.38369892373792,3.58173081681331,3.61663736005129,3.65598905153236,3.69808478794217,3.73951026611287,3.77662530749952,3.82188087988027,3.86630728948448,3.90832791738284,..
Canada,CAN,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,Poverty headcount ratio at $1.25 a day (PPP) (% of population),SI.POV.DDAY,..,..,..,..,..,..,..,..,..,..,..,..
Canada,CAN,"GNI, Atlas method (current US$)",NY.GNP.ATLS.CD,567639388790.567,693393436100.989,1224994026176.65,1356016792516.64,1484344690816.24,1447936797850.42,1511464587214.66,1617082708653.34,1773264022873.37,1848273923992.13,1836937067714.7,..
Canada,CAN,"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,20430,22530,37610,41230,44650,43060,44450,47090,51020,52570,51690,..
Canada,CAN,"GNI, PPP (current international $)",NY.GNP.MKTP.PP.CD,536213545626.764,871015177560.348,1212199114846.29,1271027436816.56,1313133612553.57,1278765031716.55,1335669623072.58,1401447208816.17,1443865264759.39,1491046840209.29,1542426582641.8,..
Canada,CAN,"GNI per capita, PPP (current international $)",NY.GNP.PCAP.PP.CD,19290,28310,37220,38650,39500,38030,39280,40810,41540,42410,43400,..
